time,pos
-0.010018429192456324, 18.30683796033018
1.0581898473728426, 18.3162050113919
2.061983782287429, 18.34828797722351
3.15707292063942, 17.96535944845411
3.9946860135472786, 17.68626266803902
4.991408423270082, 17.212590152154853
5.832149306166611, 17.15719291172944
6.929414298423763, 16.9298814542572
7.994721436448854, 16.731759076922703
8.864836347065067, 16.462377484194164
10.09333252797728, 16.361461380072765
10.964626026125453, 16.176372367630186
11.902827031857347, 16.14687866794572
12.872895231241925, 16.08171184348613
13.92998730357281, 16.046219435465904
15.01576316601785, 16.004578527685986
15.500755293219681, 15.861825890401162
16.023548894637102, 15.743450875572314
16.941854520168654, 15.780665784233804
17.895810529780007, 15.688412348839318
19.39383494690791, 15.659766124104117
18.849005788001875, 15.541749974068656
19.973475040084658, 15.588276479737477
20.910169862996597, 15.601094878322286
21.95961328839195, 15.640141886192113
22.914880938330008, 15.641696966963453
23.849345972686542, 15.495040888066358
24.85818101356717, 15.308960048885346
25.964313533882645, 15.38363540527748
26.8994868540156, 15.287635925109932
27.854728271147124, 15.287314835557954
28.827676832689136, 15.213816807523067
29.934727501233297, 15.354158125231281
30.8877128970029, 15.192486387874087
31.804444554142407, 15.117131077136587
32.833872348152276, 15.064252035037475
33.863955962325484, 15.058277251021277
34.8952725184058, 15.140482472200953
35.943509234700585, 15.09322564519822
36.824328179694966, 15.128576975283531
37.816295525974176, 15.075710524931555
39.01683991700576, 15.20476334133203
39.87677754799901, 15.086275000778954
41.055391312768116, 14.986441333608386
42.045469896976876, 14.798490619977624
42.927154524586875, 14.895755570732378
43.91990885506211, 14.899174230079897
44.70778496650628, 14.985213638262593
45.99909486814574, 14.907856239730414
46.84274192628134, 14.963858035119339
48.00312389050927, 14.89967789996535
48.97727916115185, 14.912483706803023
49.819037457216986, 14.833401238913162
50.86827102016009, 14.857438884196458
51.93597247890313, 14.862708530373023
53.040583496439645, 14.828566008012803
53.92134997582095, 14.860164997451479
55.026354485455464, 14.854165029941008
55.94494867185889, 14.912017812158979
56.899481803213995, 14.861040123877455
58.134679731677075, 14.78933012393593
59.87522644521243, 14.691183750881631
58.881370336862766, 14.608965937954821
60.962077852725365, 14.72646582635769
61.934685387782444, 14.62857758411969
62.94611747650993, 14.628237606947007
63.92027274715252, 14.641043413784677
64.8573085965494, 14.678252026572597
65.88689378739846, 14.636630006413384
66.89861443699783, 14.656927902797186
67.89094904256852, 14.630327836971642
68.84619045970004, 14.630006747419664
69.83923335104716, 14.654063280323665
