mdot,F,nchannels,tau
0.14137376348567343,1.5305333700765241e-10,36,7.801329689010223
0.14137376348567343,2.098330838833282e-10,36,7.801329689010223
0.14137376348567343,2.6026962021332485e-10,36,7.801329689010223
0.14137376348567343,3.064042216293019e-10,36,7.801329689010223
0.14137376348567343,3.4850322975026776e-10,36,7.801329689010223
0.14137376348567343,3.876882628214318e-10,36,7.801329689010223
0.14137376348567343,4.238522700452668e-10,36,7.801329689010223
0.14137376348567343,4.5766376167799703e-10,36,7.801329689010223
0.14137376348567343,4.893888152686335e-10,36,7.801329689010223
0.14137376348567343,5.188976708845673e-10,36,7.801329689010223
0.14137376348567343,5.472697236584471e-10,36,7.801329689010223
0.14137376348567343,5.743297599312859e-10,36,7.801329689010223
0.14137376348567343,5.98981049310121e-10,36,7.801329689010223
0.14137376348567343,6.214227402277433e-10,36,7.801329689010223
0.14137376348567343,6.423038770118197e-10,36,7.801329689010223
0.14137376348567343,6.624192991721005e-10,36,7.801329689010223
0.14137376348567343,6.813099061281804e-10,36,7.801329689010223
0.14137376348567343,6.970217937658643e-10,36,7.801329689010223
0.14137376348567343,7.113993585005734e-10,36,7.801329689010223
0.14137376348567343,7.237333832222381e-10,36,7.801329689010223
0.14137376348567343,7.336921963891644e-10,36,7.801329689010223
0.14137376348567343,7.441079987438915e-10,36,7.801329689010223
0.14137376348567343,7.509327844496892e-10,36,7.801329689010223
0.14137376348567343,7.546238400954572e-10,36,7.801329689010223
0.14137376348567343,7.563757731773793e-10,36,7.801329689010223
0.14137376348567343,7.569065643147403e-10,36,7.801329689010223
0.14137376348567343,7.55764121022596e-10,36,7.801329689010223
0.14137376348567343,7.519936241081155e-10,36,7.801329689010223
0.14137376348567343,7.475638866746044e-10,36,7.801329689010223
0.14137376348567343,7.392699475660675e-10,36,7.801329689010223
0.14137376348567343,7.292329598820631e-10,36,7.801329689010223
0.14137376348567343,7.175747830329133e-10,36,7.801329689010223
0.14137376348567343,7.040657263580331e-10,36,7.801329689010223
0.14137376348567343,6.885319639768483e-10,36,7.801329689010223
0.14137376348567343,6.70693416652014e-10,36,7.801329689010223
0.14137376348567343,6.529995402517786e-10,36,7.801329689010223
0.14137376348567343,6.326338218334048e-10,36,7.801329689010223
0.14137376348567343,6.097188713752347e-10,36,7.801329689010223
0.14137376348567343,5.849077735591189e-10,36,7.801329689010223
0.14137376348567343,5.594950285306713e-10,36,7.801329689010223
0.14137376348567343,5.322731791741884e-10,36,7.801329689010223
0.14137376348567343,5.026383574749133e-10,36,7.801329689010223
0.14137376348567343,4.702436378709647e-10,36,7.801329689010223
0.14137376348567343,4.3649369419576856e-10,36,7.801329689010223
0.14137376348567343,4.001665391605899e-10,36,7.801329689010223
0.14137376348567343,3.6156674319963773e-10,36,7.801329689010223
0.14137376348567343,3.1843597570459544e-10,36,7.801329689010223
0.14137376348567343,2.7134391447826403e-10,36,7.801329689010223
0.14137376348567343,2.1900146975976649e-10,36,7.801329689010223
0.14137376348567343,1.5954726169646345e-10,36,7.801329689010223
